id,content,type
42,Tujh Ko Maalum Hai Leta Tha Koi Naam Tera? / Quwwat-e-Baazoo-e-Muslim Ne Kiya Kaam Tera,allama
43,"Bas Rahe The Yahin Saljuq Bhi, Toorani Bhi / Ahl-e-Chin Cheen Mein, Iran Mein Sasaani Bhi",allama
44,"Issi Maamoore Mein Aabad The Yoonani Bhi / Issi Dunya Mein Yahudi Bhi The, Nusraani Bhi",allama
45,"Par Tere Naam Pe Talwar Uthai Kis Ne / Baat Jo Bigri Huwi Thi, Woh Banaai Kis Ne",allama
46,Kis Ne Thanda Kiya Atishkuda-e-Iran Ko? / Kis Ne Phir Zinda Kiya Tazkara-e-Yazdaan Ko?,allama
47,Kon Si Qoum Faqat Teri Talabgar Huwi / Aur Tere Liye Zehmat Kash-e-Paikaar Huwi,allama
48,"Kis Ki Shamsheer Jahangeer, Jahandar Huwi / Kis Ki Takbeer Se Dunya Teri Baidar Huwi",allama
49,Kis Ki Haibat Se Sanam Sehme Huwe Rehte The / Munh Ke Bal Gir Ke 'HU WA-ALLAH HU AHAD' Kehte The,allama
50,Aa Gaya Ain Laraai Mein Agar Waqt-e-Namaz / Qibla Ru Ho Ke Zameen Bos Huwi Qoum-e-Hijaz,allama
51,Ek Hi Saf Mein Khare Ho Gaye Mahmood-o-Ayaz / Na Koi Banda Raha Aur Na Koi Banda Nawaz,allama
52,Banda-o-Sahib-o-Mauhtaaj-o-Ghani Aik Huwe / Teri Sarkar Mein Pohanche To Sabhi Aik Huwe,allama
53,"The Hameen Ek Tire Maarka Aaraaon Mein! / Khushkion Mein Kabhi Larte, Kabhi Dariyaon Mein,",allama
54,Deen Azaanen Kabhi Europe Ke Kaleesaaon Mein / Kabhi Africa Ke Tapte Huwe Sehraaon Mein.,allama
55,Shan Ankhon Mein Na Jachti Thi Jahan Daron Ki / Kalima Parhte The Hum Chaon Mein Talwaron Ki,allama
56,Hum Jo Jeete The To Jnagon Ki Musibat Ke Liye / Aur Merte The Tere Naam Ki Azmat Ke Liye,allama
57,Thi Na Kuch Taeg-Zani Apni Hukumat Ke Liye / Sar-Bakaf Phirte The Kya Dehar Mein Doulat Ke Liye,allama
58,Qaum Apni Jo Zar-o-Maal-e-Jahan Par Marti / But Faroshi Ke Iwaz But Shikni Kyon Karti?,allama
59,Tal Na Sakte The Agar Jang Mein Arh Jate The / Paon Sheron Ke Bhi Maidan Se Ukhar Jate The,allama
60,"Tujh Se Sarkash Huwa Koi To Bighar Jate The / Taeg Kya Cheez Hai, Hum Toup Se Larh Jate The",allama
61,"Ab Woh Altaf Nahin, Hum Pe Anayat Nahin / Baat Ye Kya Hai Ke Pehli Si Madarat Nahin",allama
62,Kyun Musalmanon Mein Hai Doulat-e-Dunya Nayaab / Teri Qudrat To Hai Woh Jis Ki Na Had Hai Na Hisab,allama
63,Tu Jo Chahe To Uthe Seena-e-Sehra Se Habab / Rahroo-e-Dasht Ho Seeli Zada Mouj-e-Saraab,allama
64,"Taan-e-Aghiyaar Hai, Ruswai Hai, Nadaari Hai, / Kya Tere Nam Pe Marne Ka Iwaz Khwari Hai?",allama
65,Bani Aghyar Ki Ab Chahne Wali Dunya / Reh Gyi Apne Liye Aik Khiyali Dunya,allama
66,"Hum To Rukhsat Huwe, Auron Ne Sanbhali Dunya / Phir Na Kehna Huwi Touheed Se Khali Dunya",allama
67,"Ishq Ki Khair, Who Pehli Si Ada Bhi Na Sahi / Jaada Paimaai Taslim-o-Raza Bhi Na Sahi,",allama
68,"Kabhi Hum Se, Kabhi Ghairon Se Shanasaai Hai / Baat Kehne Ki Nahin, Tu Bhi To Harjaai Hai",allama
69,Sar-e-Faran Pe Kiya Deen Ko Kamil Tu Ne / Ek Ishare Mein Hazaron Ke Liye Dil Tu Ne,allama
70,Atish Andoz Kiya Ishq Ka Hasil Tu Ne / Phoonk Di Garmi-e-Rukhsar Se Mehfil Tu Ne,allama
71,"Aaj Kyun Seene Humare Sharar Abad Nahin / Hum Wohi Sokhta Saman Hain, Tuhe Yaad Nahin?",allama
72,Wadi-e-Najd Mein Woh Shor-e-Silasil Na Raha / Qais Diwana-e-Nazara Mehmil Na Raha,allama
73,"Hosle Woh Na Rahe, Hum Na Rahe, Dil Na Raha / Ghar Ye Ujhra Hai Ke Tu Ronaq-e-Mehfil Na Raha",allama
74,Ae Khush Aan Roz Ke Ayi-o-Bsad Naz Ayi / Be-Hijabana Soo'ay Mehfil-e-Ma Baaz Ayi,allama
75,Chaak Iss Bulbul-e-Tanha Ki Nawa Se Dil Hon / Jaagne Wale Issi Bang-e-Dara Se Dil Hon,allama
76,Yani Phir Zinda Naye Ehd-e-Wafa Se Dil Hon / Phir Issi Bada-e-Deerina Ke Pyaase Dil Hon,allama
77,"Daleel-E-Subah-E-Roshan Hai Sitaron Ki Tunak Tabi / Ufaq Se Aftab Ubhra, Gya Dour-E-Garan Khawabi",allama
78,Urooq-E-Murda’ay Mashriq Mein Khoon-E-Zindagi Dora / Samajh Sakte Nahin Iss Raaz Ko Seena-O-Farabi,allama
79,Musalman Ko Musalman Kar Diya Toofan-E-Maghrib Ne / Talatum Haye Darya Hi Se Hai Gohar Ki Seerabi,allama
80,"Atta Momin Ko Phir Dargah-E-Haq Se Hone Wala Hai / Shikoh-E-Turkamani, Zehan-E-Hindi, Nutq-E-Arabi",allama
81,"Asar Kuch Khawab Ka Ghunchon Mein Baqi Hai To Ae Bulbul ! / ""Nawa Ra Talakh Tar Mee Zan Choo Zauq-E-Nagma Kmyabi""",allama
82,"Tarap Sehan-E-Chaman Mein, Ashiyan Mein, Shakhsaron Mein / Juda Pare Se Ho Sakti Nahin Taqdeer-E-Seemabi",allama
83,Woh Chashm-E-Paak Been Kyun Zeenat-E-Bargistawan Dekhe / Nazar Ati Hai Jis Ko Mard-E-Ghazi Ki Jigar Tabi,allama
84,Zameer-E-Lala Mein Roshan Charagh-E-Arzoo Kar De / Chaman Ke Zarre Zarre Ko Shaheed-E-Justujoo Kar De,allama
85,Sar Shak-E-Chashm-E-Muslim Mein Hai Neesan Ka Asar Paida / Khalil-Allah (A.S.) Ke Darya Mein Hon Ge Phir Guhar Paida,allama
86,Kitab-E-Millat-E-Baiza Ki Phir Sheeraza Bandi Hai / Ye Shakh-E-Hashmi Karne Ko Hai Phir Barg-E-Bar Paida,allama
87,Rubood Aan Turk Sheerazi Dil-E-Tabraiz-O-Kabil Ra / Saba Karti Hai Buay Gul Se Apna Hamsafar Paida,allama
88,Agar Usmaniyon Par Koh-E-Gham Toota To Kya Gham Hai / Ke Khoon-E-Sad Hazar Anjum Se Hoti Hai Sahar Paida,allama
89,Jahan Baani Se Hai Dushwar Tar Kar-E-Jahan Beeni / Jigar Khoon Ho To Chashm-E-Dil Mein Hoti Hai Nazar Paida,allama
90,Hazaron Saal Nargis Apni Benoori Pe Roti Hai / Bari Mushkil Se Hota Hai Chaman Mein Didahwar Paida,allama
91,Nawa Pera Ho Ae Bulbul Ke Ho Tere Taranum Se / Kabootar Ke Tan-E-Nazuk Mein Shaheen Ka Jigar Paida,allama
92,Tere Seene Mein Hai Poshida Raaz-E-Zindagi Keh De / Musalman Se Hadees-E-Soz-O-Saaz-E-Zindagi Keh De,allama
93,"Khuda’ay Lam Yazil Ka Dast-E-Qudrat Tu, Zuban Tu Hai / Yaqeen Paida Kar Ae Ghafil Ke Maghloob-E-Guman Tu Hai",allama
94,"Pare Hai Charakh-E-Neeli Faam Se Manzil Musalman Ki / Sitare Jis Ki Gard-E-Rah Hon, Woh Karwan Tu Hai",allama
95,"Makan Fani, Makeen Ani, Azal, Tera, Abad Tera / Khuda Ka Akhiri Pegham Hai Tu, Javidan Tu Hai",allama
96,"Hina Band-E-Uroos-E-Lala Hai Khoon-E-Jigar Tera / Teri Nisbat Baraheemi Hai, Mamaar-E-Jahan Tu Hai",allama
97,Teri Fitrat Ameen Hai Mumkanat-E-Zindagani Ki / Jahan Ke Johar-E-Muzmar Ka Goya Imtihan Tu Hai,allama
98,Miyan-E-Shakhsaran Sohbat-E-Murgh-E-Chaman Kab Talak! / Tere Bazu Mein Hai Parwaz-E-Shaheen-E-Kehsatani,allama
99,Guman Abad-E-Hasti Mein Yaqeen Mard-E-Musalman Ka / Byaban Ki Shab-E-Tareek Mein Qindeel-E-Rahbani,allama
100,"Mitaya Qaisar-E-Kasra Ke Istabdad Ko Jis Ne / Woh Kya Tha, Zor-E-Haider (R.A.), Faqr-E-Bu Zar (R.A.), Sidq-E-Salmani (R.A.)",allama
101,Huway Ahrar-E-Millat Jadah Pema Kis Tajamul Se / Tamashayi Shagaaf-E-Dar Se Hain Sadiyon Ke Zindani,allama
102,Sabat-E-Zindagi Aeeman-E-Muhkam Se Hai Dunya Mein / Kah Almani Se Bhi Paenda Tar Nikla Hai Toorani,allama
103,Jab Iss Angara’ay Khaki Mein Hota Hai Yaqeen Paida / To Kar Leta Hai Ye Bal-O-Par-E-Rooh-ul-Ameen Paida,allama
104,Ghulami Mein Na Kaam Ati Hain Shamsheerain Na Tadbeerain / Jo Ho Zauq-E-Yaqeen Paida To Kat Jati Hain Zanjeerain,allama
105,Koi Andaza Kar Sakta Hai Uss Ke Zor-E-Bazu Ka ! / Nigah-E-Mard-E-Momin Se Badal Jati Hain Taqdeerain,allama
106,"Tu Raaz-E-Kun Fakan Hai, Apni Ankhon Par Ayan Ho Ja / Khudi Ka Raazdan Ho Ja, Khuda Ka Tarjuman Ho Ja",allama
107,"Hawas Ne Kar Diya Tukre Tukre Nu-E-Insan Ko / Akhuwat Ka Byan Ho Ja, Mohabbat Ki Zuban Ho Ja",allama
108,"Ye Hindi, Who Khurasani, Ye Afghani, Who Toorani / Tu Ae Sharminda-E-Sahil ! Uchal Kar Be-Karan Ho Ja",allama
109,Ghubar Aludah’ay Rang-O-Nasb Hain Baal-O-Par Tere / Tu Ae Murgh-E-Hara ! Urne Se Pehle Par-Fishan Ho Ja,allama
110,Khudi Mein Doob Ja Ghafil ! Ye Sir-E-Zindagani Hai / Nikl Kar Halqa-E-Shaam-O-Sahar Se Javidan Ho Ja,allama
111,"Amal Se Zindagi Banti Hai Jannat Bhi, Jahanum Bhi / Ye Khaki Apni Fitrat Mein Na Noori Hai Na Naari Hai",allama
112,"Kharosh Amoz-E-Bulbul Ho, Girah Ghunche Ki Wa Kar De / Ke Tu Iss Gulistan Ke Waste Baad-E-Bahari Hai",allama
113,Phir Uthi Asia Ke Dil Se Chankari Mohabbat Ki / Zameen Joulan Geh-E-Atlas Qabayan-E-Tatari Hai,allama
114,"Baya Paida Khareedarst Jaan-E-Natoowane Ra / ""Pas Az Muddat Gudaz Aftaad Barma Karwame Ra""",allama
115,"Baya Saqi Nawaye Murgh-E-Zaar Az Shakhsar Amad / Bahar Amad Nigar Amad, Nigar Amad Qirar Amad",allama
116,Kasheed Abar-E-Bahari Khemah Andar Wai-O-Sehra / Sada’ay Absharan Az Faraz-E-Kohsar Amad,allama
117,Sarat Gardam To Ham Qanoon-E-Paisheen Saazdah Saqi / Ke Kheel-E-Naghma Pardazan Qitar Andar Qitar Amad,allama
118,Kanar Az Zahadan Bargeer-O-Bebakana Saghar Kash / Pas Az Muddar Azeen Shakh-E-Kuhan Bang-E-Hazar Amad,allama
119,Ba Mushtaqan Hadees-E-Khawajah (S.A.W.)-E-Badar-O-Hunain Awar / Tasarraf Haye Pinhanash Ba-Chashm Ashkar Amad,allama
120,Dgar Shakh-E-Khalil (A.S.) Az Khoon-E-Ma Namnaak Mee Gardad / Babazaar-E-Mohabbat Naqad-E-Maa Kamil Ayar Amad,allama
121,"Khudi Ka Zikr Bahut Hua, Hum Ne Dil Ki Baat Bhi Sun Li / Bulandi Theek, Magar Thoda Sa Saya Bhi Zaroori Tha",llama
122,"Amal Ka Dars To Yaad Raha, Magar Yeh Baat Bhi Dil Mein Thi / Har Ek Safar Mein Thak Kar Baithna Bhi Koi Haar Nahin",llama
123,"Nigah Ko Door Talak Le Ja, Yeh Baat Hamein Bhi Achhi Lagi / Magar Jo Ghaas Hansi Rah Mein, To Dil Wahan Bhi Thehar Gaya",llama
124,"Sitaron Tak Bhi Soch Chali, Yeh Josh Bura To Tha Hi Nahin / Magar Zameen Ki Narm Hawa Ne Aaj Hamein Rok Liya",llama
125,"Khudi Ko Hum Ne Pukara Tha, Jawab Aaya Bade Pyar Se / Buland Ho, Magar Itna Nahin Ke Saya Nazar Na Aaye",llama
126,"Safar Ka Shauq Bhi Dil Mein Tha, Sukoon Ka Rang Bhi Dil Mein Tha / Pahaar Door Se Achhe The, Qareeb Aaya To Maidan Bhaya",llama
127,"Jahan Ne Kaha Ke Chal Uth Kar, Hum Ne Bhi Sar Utha Kar Kaha / Chalein Ge, Lekin Rah Mein Jo Ped Mile To Baithenge",llama
128,"Faqr Ka Naam Bada Pyara, Jalal Ki Baat Bhi Khoob Sahi / Magar Jo Chadar-e-Saya Mili, To Dil Ne Shukr Ada Kar Diya",llama
129,"Parwaz Ka Zikr Aaya To Hum Ne Khamoshi Se Muskura Kar / Kaha Ke Urna Theek, Magar Kabhi Dasht Bhi Dekh Liya Kar",llama
130,"Khudi Agar Hai To Us Mein Bhi Zara Narm Sa Pehlu Ho / Jo Apne Dil Ko Halka Rakhe, Wohi Safar Ko Aasan Kare",llama
131,"Amal Se Roshni Hoti Hai, Is Qaul Se Inkar Nahin / Magar Kabhi Sukoot Ki Lau Bhi Andar Andar Jalti Hai",llama
132,"Nigah Buland Ho Achhi Baat, Magar Dil Itna Sakht Na Ho / Ke Ghaas Ki Halki Khushbu Bhi Tujh Se Baat Na Kar Sake",llama
133,"Safar Mein Josh Bahut Dekha, Magar Yeh Baat Samajh Mein Aayi / Jo Narm Qadam Se Chalta Hai, Woh Door Talak Bhi Jata Hai",llama
134,"Sitaron Se Bhi Aage Ja, Yeh Khwab Hamein Bhi Pyara Tha / Magar Jo Raat Ko Saya Mila, To Khwab Wahin Meetha Ho Gaya",llama
135,"Khudi Ka Rang Ujala Tha, Magar Us Mein Thodi Chhaon Bhi Thi / Wohi Hamein Sab Se Achha Laga, Wohi Dil Ko Aasan Laga",llama
136,"Jigar Mein Aag Bhi Kam Na Thi, Magar Mizaj Narm Raha / Hum Ne To Dasht Mein Chal Kar Bhi Ghaas Ko Yaad Rakha",llama
137,"Jahan Ki Jeet Ka Zikr Hua, To Dil Ne Aahista Yeh Kaha / Pehle Apne Hisse Ka Pur-Sukoon Kona Dhoond To Le",llama
138,"Amal Ki Raah Mein Nikle To Rah Ne Kitni Baaten Ki / Har Mor Pe Ek Saya Tha, Har Saya Jaise Dost Koi",llama
139,"Nigah Mein Khwab Bade The, Magar Dil Mein Ek Narmi Thi / Hum Aasman Ko Dekhte The, Par Pair Zameen Par Rakhte The",llama
140,"Khudi Se Kehna Aahista, Woh Jaldi Jaldi Thak Jati Hai / Use Bhi Kabhi Hari Ghaas Par Chup Chaap Baithne Do",llama
141,"Sukoot Ko Kam Na Samjho Tum, Is Mein Bhi Ek Aahang Hai / Kabhi Jo Dil Thoda Ruk Jaye, To Rah Bhi Saaf Nazar Aaye",llama
142,"Parwaz Ki Baaten Theek, Magar Yeh Raaz Bhi Samjho Dost / Har Par Ka Apna Aaram Hai, Har Aasman Ka Apna Bojh",llama
143,"Faqr Mein Hum Ne Yeh Dekha Hai, Jeb Khali Ho To Kya Gham / Agar Kisi Ped Tale Do Pal Ka Sukoon Naseeb Aa Jaye",llama
144,"Nigah Ka Kaam Hai Door Dekhna, Dil Ka Kaam Hai Rah Chunana / Kabhi Sitara Bulata Hai, Kabhi Sabza Rok Leta Hai",llama
145,"Khudi Ko Kar To Buland Sahi, Magar Zyada Shor Kaisa / Jo Phool Khamosh Khile, Un Mein Bhi To Rang Bahut Hota Hai",llama
146,"Safar Mein Rahat Kam Sahi, Magar Bilkul Na Ho Yeh Kyon / Musafir Hi To Thoda Sa Apna Bistar Saath Liye Chalta Hai",llama
147,Jahan Ki Bheed Se Guzre To Dil Ne Bas Itna Keh Dala / Har Jeet Se Pehle Aadmi Ko Apna Saaya Chahiye,llama
148,"Amal Ki Dhun Mein Jo Nikle The, Woh Baat Hamein Bhi Yaad Rahi / Magar Jo Dhoop Zyada Hui, To Hum Ne Saya Chun Liya",llama
149,"Sitaron Wali Baaten Bhi Hain, Maidan Ki Khushbu Bhi Apni / Dil Dono Se Banta Hai, Sirf Aag Se Kam Chalti Hai",llama
150,Nigah Agar Upar Uthi Hai To Dil Ko Neeche Rehne Do / Kayi Dafa Hari Zameen Hi Insan Ko Bachati Hai,llama
151,"Khudi Ka Raz Yeh Nikla, Har Waqt Garajna Lazim Nahin / Kabhi Halki Si Muskahat Se Bhi Rah Ban Jati Hai",llama
152,Safar Ka Shor Bahut Kam Ho To Dil Ki Chal Sunai De / Wohi Qadam Bada Sacha Hai Jo Dheere Dheere Padta Hai,llama
153,"Parwaz Ka Khwab Apni Jagah, Magar Yeh Baat Bhi Suniye / Jo Pair Thak Gaye Hon Un Ko Ghaas Ki Narmi Yaad Rahe",llama
154,"Jigar Ki Aag Ko Rakho, Magar Use Khaak Mat Kar Do / Thoda Sa Noor Tab Banta Hai Jab Saath Thandi Hawa Ho",llama
155,"Khudi Bhi Ek Narm Si Cheez, Amal Bhi Ek Meethi Zid / Jo Baat Pyar Se Samjhe, Wahi Dil Par Asar Karti Hai",llama
156,"Nigah Mein Dasht Ho Ya Koh, Dil Apna Rah Nikal Leta / Kahin Sitara Hansa Thoda, Kahin Saya Bula Leta",llama
157,"Faqr Ne Hum Ko Yeh Sikhaya, Kam Mein Bhi Kafi Cheezen Hain / Ek Chadar, Thodi Dhoop, Thoda Sabza, Aur Dil Ka Chain",llama
158,"Jahan Ko Jeetna Door Raha, Hum Ne To Itna Kaam Kiya / Jo Dil Udas Tha Shaam Talak, Us Ko Zara Behlaya Hai",llama
159,"Amal Ka Zor Zaroori Hai, Magar Har Waqt Nahin Hota / Kabhi Jo Rah Thakaye Bahut, To Theharna Bhi Hunar Hai",llama
160,"Khudi Se Hum Ne Kaha Uth, Woh Boli Thoda Sabr Bhi Kar / Jo Kaam Sukoon Se Hota Hai, Woh Daud Se Kab Hota Hai",llama
161,"Nigah-e-Shauq Ko Hum Ne Bhi Kai Bar Aazmaya Hai / Magar Jo Ped Ke Neeche Hawa Chali, To Dil Maan Gaya",llama
162,"Sitaron Ka Safar Achha, Magar Raat Lambi Hoti Hai / Kisi Qareeb Ki Halki Si Baat Zyada Garam Rakhti Hai",llama
163,"Safar Mein Jo Bhi Mila Hum Ko, Us Mein Thoda Ghar Bhi Tha / Koi Rah, Koi Ped, Koi Ghaas, Koi Chup Si Muskurahat",llama
164,"Khudi Ka Naam Sunte Hi Agar Dil Aur Sakht Ho Jaye / To Phir Wahan Se Mod Le Rah, Wahan Narmi Nahin Hogi",llama
165,"Amal Agar Hai To Achha Hai, Magar Dil Behalna Bhi To Ho / Har Kaam Ke Darmiyan Thoda Sa Aasman Dekh Liya Kar",llama
166,"Nigah Ne Koh Ko Dekha Tha, Dil Ko Chaman Pasand Aaya / Hum Is Mein Kya Gunah Karen, Mizaj Apna Zameeni Tha",llama
167,"Faqr Ka Zauq Bhi Hum Mein Tha, Magar Aisi Faqr Se Kya / Jo Aadmi Se Hansi Cheen Le, Ya Saya Bhi Door Kare",llama
168,"Khudi Ki Baat Karne Walon, Thoda Dil Ka Haal Bhi Poochho / Kabhi Bulandi Bojh Banti Hai, Kabhi Aaram Dua Lagta Hai",llama
169,Parwaz Ka Dars Sun Kar Bhi Hum Ne Pair Samhale Rakhe / Kya Khabar Rah Mein Narm Zameen Ka Dil Par Kya Asar Ho,llama
170,"Jahan Mein Rehne Ka Fan Shayad Itna Sa Hi Hai Aakhir / Na Har Dam Jeet Ka Nasha, Na Har Lamha Haar Ka Gham",llama
171,Amal Ke Sath Agar Thoda Sukoon Bhi Ghar Kar Jaye / To Aadmi Ki Baat Mein Kuchh Aur Mithas Aati Hai,llama
172,"Khudi Ko Hum Ne Samjha Hai Koi Naazuk Si Mehman / Use Dhoop Mein Mat Rakho, Zara Saya Bhi Milne Do",llama
173,"Nigah Buland Thi Achhi, Magar Jab Dil Udas Nikla / To Hum Ne Door Sitare Chhor Kar Paas Ka Ped Dekha",llama
174,Safar Ki Rah Mein Hum Ne Bahut Aawazen Suni Hongi / Sab Se Meethi Wohi Nikli Jo Chup Se Dil Ko Samjhaye,llama
175,Sitaron Wali Rahon Mein Badi Thand Si Rehti Hai / Koi Maidan Agar Garam Ho To Dil Udhar Bhi Jata Hai,llama
176,"Khudi Ka Faisla Mushkil, Amal Ka Rasta Bhi Sakht / Magar Hari Si Ghaas Pe Baith Kar Kayi Guthi Sulajhti Hai",llama
177,"Jigar Mein Josh Rehne Do, Magar Itna Bhi Kyon Yaro / Ke Ek Patte Ki Halki Si Hansi Sunai Hi Na De",llama
178,"Faqr Ka Husn Tab Aaya Jab Bojh Thoda Kam Nikla / Do Roti, Ek Khuli Rah, Aur Sham Ka Aram Kafi Tha",llama
179,"Nigah Ko Door Le Ja Kar Bhi Dil Ko Paas Rakha Hum Ne / Wahi Ada Hamare Kaam Aayi, Wahi Rah Aasan Thi",llama
180,Khudi Ka Dars Woh Kya De Jo Muskurana Bhool Gaya / Hamein To Woh Ustad Bhaya Jo Rah Mein Thehar Bhi Jaye,llama
181,Amal Ki Baat Sahi Lekin Hawa Se Dosti Bhi Ho / Wagarna Aadmi Chalta Rahe Aur Dil Dhool Ban Jaye,llama
182,"Parwaz Se Inkar Nahin, Bas Itna Kehna Hai Dil Ka / Har Unchi Baat Ke Neeche Ek Narm Jagah Bhi Rehne Do",llama
183,"Safar Agar Hai To Is Mein Thoda Khwab Bhi Bachne Do / Jo Sirf Manzil Sochta Hai, Rah Ka Husn Kho Deta Hai",llama
184,Khudi Ka Rang Tab Nikla Jab Shor Zara Sa Kam Nikla / Chup Reh Kar Apne Aap Se Milna Bhi Badi Baat Hoti Hai,llama
